Basin,Project Name / concession layer,Reference Term,Stage of Project,Country,Commodity_type,Title / Project type,Company_Name,Sub,Partner,Source,URL (pdf),Page
Kearl Oil Sands,Kearl Oil Sands Project (Initial Development),Project,Development,Canada,Oil,Shale,ExxonMobil,ImperialOil,,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
Kearl Oil Sands,Kearl Oil Sands Project  (Expansion),Project,Expansion,Canada,Oil,Shale,ExxonMobil,ImperialOil,,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
Willinston Basin,Bakken,Region,Operation,US,Oil,Onshore,ExxonMobil,XTO Energy,,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
Permian Basin,Wolfcamp,"Position, Formation",Operation,US,Oil,Shale,ExxonMobil,XTO Energy,,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
Ardmore,Woodford,Shale,Operation,US,Oil,Shale,ExxonMobil,XTO Energy,,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
NA,Papua New Guinea Liquefied Natural Gas (PNG LNG),"Project, Development",Development,Papua New Guinea,Gas,Liquefied Natural Gas,ExxonMobil,ExxonMobil PNG Ltd,"Oil Search Ltd., Santos Ltd., National Petroleum Company of PNG, JX Nippon Oil and Gas Exploration, Mineral Resources Development Company, and Petromin PNG Holdings Ltd.",Official website,http://pnglng.com/,2
Pechora Sea,South-Russky block,Block,Development,Russia,Oil&Gas,Deepwater,ExxonMobil,NA,Rosneft,Official website,http://www.rosneft.com/Upstream/Exploration/arctic_seas/,NA
Kara Sea,East Prinovozemelsky 1,Block,Development,Russia,Oil&Gas,Deepwater,ExxonMobil,NA,Rosneft,Official website,http://www.rosneft.com/Upstream/Exploration/arctic_seas/,NA
Kara Sea,East Prinovozemelsky 2,Block,Development,Russia,Oil&Gas,Deepwater,ExxonMobil,NA,Rosneft,Official website,http://www.rosneft.com/Upstream/Exploration/arctic_seas/,NA
Kara Sea,East Prinovozemelsky 3,Block,Development,Russia,Oil&Gas,Deepwater,ExxonMobil,NA,Rosneft,2013 Annual report,http://cdn.exxonmobil.com/~/media/Files/Other/2014/Kara-Sea-Fact-Sheet.pdf,NA
Pechora Sea,West Matveevsky,License,Development,Russia,Oil&Gas,Deepwater,ExxonMobil,NA,Rosneft,Website,http://subseaworldnews.com/2014/06/30/rosneft-starts-seismic-surveys-in-barents-and-pechora-seas/,NA
Willinston,Middle Bakken,NA,Development,US,Oil,Onshore,ExxonMobil,NA,NA,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
Willinston,Three Forks Reservoirs ,NA,Development,US,Oil,Onshore,ExxonMobil,NA,NA,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,2
Vaca Muerta/Nequen,Bajo del Choique,NA,Operation,Argentina,Oil&Gas,Shale,ExxonMobil,NA,NA,Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/argentina/about/overview,NA
Vaca Muerta/Nequen,La Invernada,NA,Operation,Argentina,Oil&Gas,Shale,ExxonMobil,NA,NA,Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/argentina/about/overview,NA
Vaca Muerta/Nequen,Sierra Chata,NA,Operation,Argentina,Oil&Gas,Shale,ExxonMobil,NA,NA,Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/argentina/about/overview,NA
NA,LNG project in Russian Far East,Project,Development,Russia,Gas,Liquified Natural Gas,ExxonMobil,NA,Rosneft,Website,http://www.rosneft.com/news/pressrelease/07122012.html,NA
Bazhenov and Achimov formations,Western Siberia Tight Oil Pilot Project,Project,Development,Russia,Oil&Gas,Onshore,ExxonMobil,NA,Rosneft,Website,http://news.exxonmobil.com/press-release/rosneft-and-exxonmobil-sign-agreement-western-siberia-tight-oil-pilot-project,2
NA,Golden Pass LNG,Terminal,Operation,US,Gas,Liquified Natural Gas,ExxonMobil,NA,"Qatar Petroleum(70), ConocoPhilips(12)",2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,30
NA,Adriatic LNG ,Terminal,Operaton,Italy,Gas,Liquified Natural Gas,ExxonMobil,NA,"Qatar Petroleum, Edison",Official website,http://corporate.exxonmobil.com/~/media/Brochures/2011/LNG_Brochure.pdf,8
NA,South Hook LNG,Terminal,Operation,UK,Gas,Liquified Natural Gas,ExxonMobil,NA,"Qatar Petroleum, Total",Official website,http://corporate.exxonmobil.com/~/media/Brochures/2011/LNG_Brochure.pdf,8
NA,Hartzog Draw Field,Field,Operation,US,Oil,Onshore,ExxonMobil,XTO Energy,NA,Website,http://news.exxonmobil.com/press-release/exxonmobil-increase-production-and-acreage-bakken-oil-shale-region,NA
NA,Webster Field,Field,Operation,US,Oil,Onshore,ExxonMobil,XTO Energy,NA,Website,http://news.exxonmobil.com/press-release/exxonmobil-increase-production-and-acreage-bakken-oil-shale-region,NA
Permian Basin,New Mexico Delaware Basin,Basin,Operation,US,Oil,Onshore,ExxonMobil,XTO Energy,NA,Website,http://news.exxonmobil.com/press-release/exxonmobil-increase-production-and-acreage-bakken-oil-shale-region,NA
Permian Basin,Spraberry,"Position, Formation",Operation,US,Oil,Shale,ExxonMobil,XTO Energy,NA,2013 Annual report,http://cdn.exxonmobil.com/~/media/Reports/Summary%20Annual%20Report/2013_ExxonMobil_Summary_Annual_Report.pdf,NA
Potiguar basin,POT-M-762,NA,Operation,Brazil,Oil,Onshore,ExxonMobil,NA,,Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/brazil/about/overview,NA
Ceara Basin,CE-M-603,NA,Operation,Brazil,Oil,Onshore,ExxonMobil,NA,,Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/brazil/about/overview,NA
NA,Sakhalin-1,"Project, Development",Operation,Russia,Gas,"Liquified Natural Gas, Offshore",ExxonMobil,Exxon Neftegas Limited (ENL),Rosneft,Website,http://corporate.exxonmobil.com/en/energy/arctic/presence/our-arctic-presence,NA
NA,Alaska LNG Project,Project,Operation,US,Gas,Liquified Natural Gas,ExxonMobil,NA,NA,Website,http://corporate.exxonmobil.com/en/energy/arctic/presence/our-arctic-presence,NA
NA,Beaufort Sea,NA,Operation,Canada,Oil&Gas,Deepwater,ExxonMobil,NA,NA,Website,http://corporate.exxonmobil.com/en/energy/arctic/presence/our-arctic-presence,NA
NA,West Qurna I project,Project,Operation,Iraq,Oil,Onshore,ExxonMobil,NA,NA,Website,http://corporate.exxonmobil.com/en/energy/arctic/presence/our-arctic-presence,NA
NA,North Field,Field,Operation,Qatar,Gas,Liquified Natural Gas,ExxonMobil,NA,Qatar Petroleum,Website,,NA
NA,Chad/Cameroon Development Project,Project,Operation,"Chad, Cameroon",Oil,Onshore,ExxonMobil,NA,"Esso(40), Chevron(25), Petronas(35)",Website,http://en.wikipedia.org/wiki/Chad%E2%80%93Cameroon_Petroleum_Development_and_Pipeline_Project,NA
NA,Block B - Zafiro Field,"Block, Field",Operation,Equatorial Guinea,Oil,Offshore,ExxonMobil,Mobil Equatorial Guinea Inc.,GEPetrol (23.75 percent) and Equatorial Guinea state (5 percent),Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/equatorial-guinea,NA
NA,Ampasindava PSC license,"License, Block",Operation,Madagascar ,Oil,Offshore,ExxonMobil,ExxonMobil Exploration and Production (Northern Madagascar) Limited,Sterling Energy (30),Website,http://corporate.exxonmobil.com/en/company/worldwide-operations/locations/madagascar/about/overview,NA
